"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1993","Stratum_1"," [count*km2/ha]",362936120.174972,241194979.516348,0.6645659280208
"1","1994","Stratum_1"," [count*km2/ha]",0,0,0
"1","1995","Stratum_1"," [count*km2/ha]",0,0,0
"1","1996","Stratum_1"," [count*km2/ha]",813653062.948507,535349627.37299,0.657958104936022
"1","1997","Stratum_1"," [count*km2/ha]",0,0,0
"1","1998","Stratum_1"," [count*km2/ha]",0,0,0
"1","1999","Stratum_1"," [count*km2/ha]",236225944.955479,161541021.436567,0.683841148215163
"1","2000","Stratum_1"," [count*km2/ha]",0,0,0
"1","2001","Stratum_1"," [count*km2/ha]",363503795.54817,244478424.17661,0.672560856779864
"1","2002","Stratum_1"," [count*km2/ha]",0,0,0
"1","2003","Stratum_1"," [count*km2/ha]",279824134.898042,187963425.381278,0.671719848074454
"1","2004","Stratum_1"," [count*km2/ha]",0,0,0
"1","2005","Stratum_1"," [count*km2/ha]",296480646.069966,195659611.200965,0.65994058564886
"1","2006","Stratum_1"," [count*km2/ha]",0,0,0
"1","2007","Stratum_1"," [count*km2/ha]",291737562.568052,192751066.579121,0.660700202203683
"1","2008","Stratum_1"," [count*km2/ha]",0,0,0
"1","2009","Stratum_1"," [count*km2/ha]",589486092.264423,383395240.471306,0.650388949802956
"1","2010","Stratum_1"," [count*km2/ha]",0,0,0
"1","2011","Stratum_1"," [count*km2/ha]",513575142.390194,338595437.946043,0.659290939141272
"1","2012","Stratum_1"," [count*km2/ha]",0,0,0
"1","2013","Stratum_1"," [count*km2/ha]",750599547.805562,487483960.384446,0.649459437871557
"1","2014","Stratum_1"," [count*km2/ha]",0,0,0
"1","2015","Stratum_1"," [count*km2/ha]",451823772.801015,305575686.132899,0.676316087218092
"1","2016","Stratum_1"," [count*km2/ha]",0,0,0
"1","2017","Stratum_1"," [count*km2/ha]",206545695.144933,141813641.32245,0.686596935476866
"1","2018","Stratum_1"," [count*km2/ha]",0,0,0
"1","2019","Stratum_1"," [count*km2/ha]",238842792.420516,160631760.104658,0.672541794025935
"1","2020","Stratum_1"," [count*km2/ha]",0,0,0
"1","2021","Stratum_1"," [count*km2/ha]",567400968.760192,380940197.556551,0.671377418316591
